model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,CPU,63,7.9055,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,64,7.8753,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,65,7.8058,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,66,7.8286,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,67,7.7454,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,68,7.4891,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,69,7.8006,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,70,7.7670,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,71,7.7091,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,72,7.7465,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,73,7.4757,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,74,7.4397,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,75,7.6846,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,76,7.5965,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,77,7.4612,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,78,7.7119,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,79,7.6405,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,80,7.6346,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,81,7.5027,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,82,7.5449,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,83,7.4364,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,84,7.6496,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,85,7.6459,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,86,7.4979,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,87,7.6746,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,88,7.5934,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,89,7.6341,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,90,7.5788,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,91,7.5275,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,92,7.6951,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,93,7.6543,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,94,7.7128,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,95,7.6807,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,96,7.7772,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,97,7.7773,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,98,7.6549,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,99,7.6318,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,CPU,100,7.4558,7.6547,7.4364,7.9055,7.6645,0.1053
resnet,onnx,GPU,1,3.9499,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,2,4.0193,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,3,3.9273,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,4,4.0416,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,5,3.8231,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,6,3.8005,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,7,3.9360,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,8,3.9431,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,9,3.9257,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,10,3.9005,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,11,4.0217,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,12,3.9497,3.9121,3.7201,4.0432,3.9144,0.0774
