model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,CPU,63,4.6293,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,64,4.5703,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,65,4.5658,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,66,4.5946,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,67,4.5540,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,68,4.5468,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,69,4.5421,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,70,4.5370,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,71,4.5574,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,72,4.5458,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,73,4.6307,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,74,4.4805,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,75,4.5661,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,76,4.5264,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,77,4.4984,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,78,4.5119,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,79,4.5940,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,80,4.5480,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,81,4.5350,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,82,4.5902,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,83,4.6033,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,84,4.5246,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,85,4.5580,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,86,4.5533,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,87,4.5274,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,88,4.5660,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,89,4.5723,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,90,4.5566,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,91,4.5540,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,92,4.5620,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,93,4.5352,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,94,4.5434,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,95,4.5187,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,96,4.5772,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,97,4.5331,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,98,4.5252,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,99,4.5387,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,CPU,100,4.5388,4.5691,4.4805,4.9378,4.5662,0.0482
resnet,onnx,GPU,1,0.8019,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,2,0.7811,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,3,0.8046,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,4,0.7949,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,5,0.7934,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,6,0.7953,0.7811,0.7335,0.8123,0.7793,0.0171
