ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745353169.2516751,96.4,6116,0,0.0,4.0
1745353170.2728791,34.9,6439,0,0.0,4.0
1745353171.2981105,56.8,7416,0,0.0,4.0
1745353172.3364527,76.6,7610,0,0.0,4.0
1745353173.398818,99.5,8385,0,0.0,4.0
1745353174.5177917,95.0,9632,0,0.0,4.0
1745353175.5866337,100.0,9694,0,0.0,4.0
1745353176.6469734,100.0,9733,0,0.0,4.0
1745353177.7068944,100.0,9733,0,0.0,4.0
1745353178.7578845,100.0,9963,0,0.0,4.0
1745353179.8222196,100.0,10212,0,0.0,4.0
1745353180.887756,95.7,11385,0,0.0,4.0
1745353181.924522,96.3,12401,0,0.0,4.0
1745353183.0003436,100.0,12367,0,0.0,4.0
1745353184.0684721,100.0,12429,0,0.0,4.0
1745353185.1366017,100.0,12466,0,0.0,4.0
1745353186.2029378,100.0,12510,0,0.0,4.0
1745353187.2622423,100.0,12566,0,0.0,4.0
1745353188.353456,99.9,12665,0,0.0,4.0
1745353189.3854403,90.7,12715,0,0.0,4.0
1745353190.4216547,98.1,12782,0,0.0,4.0
1745353191.4903402,100.0,12816,0,0.0,4.0
1745353192.5620236,100.0,12911,0,0.0,4.0
1745353193.6510894,100.0,12866,0,0.0,4.0
1745353194.7167535,100.0,12869,0,0.0,4.0
1745353195.78203,100.0,13427,0,0.0,4.0
1745353196.8349955,99.6,13928,0,0.0,4.0
1745353197.8639307,89.8,13934,0,0.0,4.0
1745353198.8971314,94.6,13936,0,0.0,4.0
1745353199.9700243,100.0,13938,0,0.0,4.0
1745353201.044179,100.0,13942,0,0.0,4.0
1745353202.1126628,100.0,13930,0,0.0,4.0
1745353203.179981,100.0,13991,0,0.0,4.0
1745353204.2406044,100.0,13932,0,0.0,4.0
1745353205.3105695,94.9,13939,0,0.0,4.0
1745353206.3472507,87.4,13939,0,0.0,4.0
1745353207.4154706,79.5,13946,0,0.0,4.0
1745353208.4885972,98.2,14170,0,0.0,4.0
1745353209.569686,99.9,14182,0,0.0,4.0
1745353210.601863,99.2,15083,0,0.0,4.0
1745353211.6688342,100.0,15089,0,0.0,4.0
1745353212.7403564,100.0,15090,0,0.0,4.0
1745353213.8086398,100.0,15162,0,0.0,4.0
1745353214.8860416,100.0,15117,0,0.0,4.0
1745353215.950389,99.0,15112,0,0.0,4.0
1745353216.9830341,92.1,15109,0,0.0,4.0
1745353218.0185707,90.4,15604,0,0.0,4.0
1745353219.086151,100.0,15708,0,0.0,4.0
1745353220.1517537,100.0,15713,0,0.0,4.0
1745353221.2159622,100.0,15719,0,0.0,4.0
1745353222.2808092,100.0,15727,0,0.0,4.0
1745353223.3428087,100.0,15728,0,0.0,4.0
1745353224.4197905,100.0,16147,0,0.0,4.0
1745353225.4843552,99.3,16701,0,0.0,4.0
1745353226.5796206,100.0,16679,0,0.0,4.0
1745353227.6489136,100.0,16713,0,0.0,4.0
1745353228.7040854,100.0,16743,0,0.0,4.0
1745353229.7722974,100.0,16744,0,0.0,4.0
1745353230.848718,99.8,16754,0,0.0,4.0
1745353231.9121492,94.3,16808,0,0.0,4.0
1745353232.9464524,94.2,16840,0,0.0,4.0
1745353234.016542,100.0,16839,0,0.0,4.0
1745353235.0841722,99.9,17152,0,0.0,4.0
1745353236.151793,100.0,16894,0,0.0,4.0
1745353237.224771,100.0,17015,0,0.0,4.0
1745353238.2919688,100.0,17235,0,0.0,4.0
1745353239.3667786,99.7,17267,0,0.0,4.0
1745353240.3994644,84.1,17758,0,0.0,4.0
1745353241.436817,96.8,17823,0,0.0,4.0
1745353242.5058975,100.0,18114,0,0.0,4.0
1745353243.5438483,96.9,18737,0,0.0,4.0
1745353244.579199,99.9,19067,0,0.0,4.0
1745353245.6541,100.0,19178,0,0.0,4.0
1745353246.7294724,100.0,19259,0,0.0,4.0
1745353247.809908,100.0,19266,0,0.0,4.0
1745353248.8762202,99.3,19264,0,0.0,4.0
1745353249.9068997,93.4,19421,0,0.0,4.0
1745353250.9770398,100.0,20097,0,0.0,4.0
1745353252.0486403,100.0,21161,0,0.0,4.0
1745353253.1253495,100.0,21346,0,0.0,4.0
1745353254.2078424,100.0,21467,0,0.0,4.0
1745353255.277981,100.0,21461,0,0.0,4.0
1745353256.3431013,100.0,21470,0,0.0,4.0
1745353257.4003263,97.0,21475,0,0.0,4.0
1745353258.4492826,100.0,21472,0,0.0,4.0
1745353259.5249655,100.0,21470,0,0.0,4.0
1745353260.5920079,100.0,21468,0,0.0,4.0
1745353261.656328,100.0,21472,0,0.0,4.0
1745353262.7296896,100.0,21473,0,0.0,4.0
1745353263.7920763,99.7,21855,0,0.0,4.0
1745353264.8640172,93.4,21818,0,0.0,4.0
1745353265.8971682,99.0,21819,0,0.0,4.0
1745353266.974078,100.0,21824,0,0.0,4.0
1745353268.0402558,100.0,21821,0,0.0,4.0
1745353269.108095,100.0,21819,0,0.0,4.0
1745353270.1673372,100.0,21819,0,0.0,4.0
1745353271.2293782,100.0,21824,0,0.0,4.0
1745353272.2968404,99.2,21831,0,0.0,4.0
1745353273.3310835,88.4,21827,0,0.0,4.0
1745353274.3644867,70.7,21864,0,0.0,4.0
1745353275.4028826,85.0,21826,0,0.0,4.0
1745353276.4950483,99.5,21831,0,0.0,4.0
1745353277.5738442,99.5,22180,0,0.0,4.0
1745353278.645236,99.8,22174,0,0.0,4.0
1745353279.7120335,100.0,22180,0,0.0,4.0
1745353280.78025,100.0,22179,0,0.0,4.0
1745353281.8480864,100.0,22180,0,0.0,4.0
1745353282.9286702,100.0,22164,0,0.0,4.0
1745353283.9965239,100.0,22166,0,0.0,4.0
1745353285.0681589,91.8,22173,0,0.0,4.0
1745353286.1050355,96.0,22179,0,0.0,4.0
1745353287.172075,100.0,22217,0,0.0,4.0
1745353288.2474842,100.0,22182,0,0.0,4.0
1745353289.3165855,100.0,22182,0,0.0,4.0
1745353290.3850217,99.7,22273,0,0.0,4.0
1745353291.457952,100.0,22539,0,0.0,4.0
1745353292.5287044,100.0,22804,0,0.0,4.0
1745353293.5994654,100.0,23098,0,0.0,4.0
1745353294.6782248,100.0,23628,0,0.0,4.0
1745353295.7530239,100.0,24015,0,0.0,4.0
1745353296.8145063,100.0,24484,0,0.0,4.0
1745353297.8924265,100.0,24428,0,0.0,4.0
1745353298.9651523,100.0,24437,0,0.0,4.0
1745353300.0365527,100.0,25131,0,0.0,4.0
1745353301.0994668,100.0,26518,0,0.0,4.0
1745353302.1683714,100.0,27232,0,0.0,4.0
1745353303.2360425,100.0,27593,0,0.0,4.0
1745353304.3038352,100.0,28065,0,0.0,4.0
1745353305.3780572,100.0,28130,0,0.0,4.0
1745353306.449498,100.0,28193,0,0.0,4.0
1745353307.50944,100.0,28135,0,0.0,4.0
1745353308.565194,100.0,28137,0,0.0,4.0
1745353309.6288736,100.0,28137,0,0.0,4.0
1745353310.6951427,100.0,28132,0,0.0,4.0
1745353311.7528489,100.0,28126,0,0.0,4.0
1745353312.8163545,100.0,28130,0,0.0,4.0
1745353313.878038,100.0,28126,0,0.0,4.0
1745353314.9484105,100.0,28130,0,0.0,4.0
1745353316.0122986,100.0,28196,0,0.0,4.0
1745353317.0820456,100.0,28571,0,0.0,4.0
1745353318.1690402,100.0,28497,0,0.0,4.0
1745353319.2383907,100.0,28502,0,0.0,4.0
1745353320.3090541,100.0,28504,0,0.0,4.0
1745353321.3778682,100.0,28501,0,0.0,4.0
1745353322.448694,100.0,28851,0,0.0,4.0
1745353323.517102,100.0,28858,0,0.0,4.0
1745353324.5845273,100.0,28871,0,0.0,4.0
1745353325.651998,100.0,28877,0,0.0,4.0
1745353326.7186668,100.0,29212,0,0.0,4.0
1745353327.7772563,100.0,29238,0,0.0,4.0
1745353328.8484545,100.0,29231,0,0.0,4.0
1745353329.9260516,100.0,29224,0,0.0,4.0
1745353331.0006783,100.0,29523,0,0.0,4.0
1745353332.074127,100.0,29580,0,0.0,4.0
1745353333.139923,100.0,29584,0,0.0,4.0
1745353334.2140994,100.0,29653,0,0.0,4.0
1745353335.2813792,100.0,29600,0,0.0,4.0
1745353336.3524406,100.0,29594,0,0.0,4.0
