ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745348053.7592468,0.0,6883,0,0.0,4.0
1745348054.7848392,35.2,6948,0,0.0,4.0
1745348055.8140657,62.5,8688,0,0.0,4.0
1745348056.8451254,90.4,9133,0,0.0,4.0
1745348057.8938797,94.3,10622,0,0.0,4.0
1745348058.9481661,85.3,10595,0,0.0,4.0
1745348060.0405684,99.2,11704,0,0.0,4.0
1745348061.1340199,99.9,12013,0,0.0,4.0
1745348062.195793,100.0,13476,0,0.0,4.0
1745348063.2671766,100.0,13934,0,0.0,4.0
1745348064.3385024,99.9,15303,0,0.0,4.0
1745348065.4419975,100.0,16620,0,0.0,4.0
1745348066.5078025,100.0,16576,0,0.0,4.0
1745348067.5871184,100.0,16887,0,0.0,4.0
1745348068.6664095,100.0,16569,0,0.0,4.0
1745348069.7320023,100.0,16189,0,0.0,4.0
1745348070.8057046,99.9,15958,0,0.0,4.0
1745348071.9927967,99.5,15343,0,0.0,4.0
1745348073.0557399,100.0,16857,0,0.0,4.0
1745348074.113674,100.0,17193,0,0.0,4.0
1745348075.1881316,100.0,16432,0,0.0,4.0
1745348076.2939897,100.0,16821,0,0.0,4.0
1745348077.347402,100.0,16920,0,0.0,4.0
1745348078.4075165,100.0,16045,0,0.0,4.0
1745348079.5108962,98.4,14977,0,0.0,4.0
1745348080.579836,99.9,14693,0,0.0,4.0
1745348081.6360478,96.7,14488,0,0.0,4.0
1745348082.7100012,100.0,14757,0,0.0,4.0
1745348083.7637079,100.0,14829,0,0.0,4.0
1745348084.8182547,100.0,15326,0,0.0,4.0
1745348085.8912823,100.0,15007,0,0.0,4.0
1745348086.9469953,99.9,13132,0,0.0,4.0
1745348088.0142777,95.1,12869,0,0.0,4.0
1745348089.0860739,94.7,11068,0,0.0,4.0
1745348090.147919,99.4,11438,0,0.0,4.0
1745348091.239983,99.6,11881,0,0.0,4.0
1745348092.2921941,97.7,10754,0,0.0,4.0
1745348093.3560872,91.7,10307,0,0.0,4.0
1745348094.4264905,93.9,11903,0,0.0,4.0
1745348095.4830246,99.5,13782,0,0.0,4.0
1745348096.5508156,100.0,15136,0,0.0,4.0
1745348097.6393409,100.0,15645,0,0.0,4.0
1745348098.7165182,100.0,15482,0,0.0,4.0
1745348099.799461,100.0,15912,0,0.0,4.0
1745348100.8660777,95.2,15217,0,0.0,4.0
1745348101.9621205,97.8,14841,0,0.0,4.0
1745348103.0168471,100.0,16854,0,0.0,4.0
1745348104.094562,100.0,17324,0,0.0,4.0
1745348105.1789317,100.0,17393,0,0.0,4.0
1745348106.2594466,100.0,16975,0,0.0,4.0
1745348107.3151188,100.0,15420,0,0.0,4.0
1745348108.3820033,100.0,16407,0,0.0,4.0
1745348109.4358764,99.8,14477,0,0.0,4.0
1745348110.5340853,100.0,16046,0,0.0,4.0
1745348111.6219647,100.0,16455,0,0.0,4.0
1745348112.7099884,100.0,16526,0,0.0,4.0
1745348113.7831619,100.0,16481,0,0.0,4.0
1745348114.8790503,100.0,15851,0,0.0,4.0
1745348115.9380016,100.0,16128,0,0.0,4.0
1745348116.9964445,92.8,14508,0,0.0,4.0
1745348118.1021175,100.0,14958,0,0.0,4.0
1745348119.1678126,100.0,15315,0,0.0,4.0
1745348120.2271867,100.0,15236,0,0.0,4.0
1745348121.3069818,100.0,13462,0,0.0,4.0
1745348122.405326,99.3,13494,0,0.0,4.0
1745348123.433773,92.5,11232,0,0.0,4.0
1745348124.516466,90.3,9808,0,0.0,4.0
1745348125.5614326,85.0,9888,0,0.0,4.0
1745348126.637913,92.2,9820,0,0.0,4.0
1745348127.6721559,97.6,11160,0,0.0,4.0
1745348128.733906,99.6,11686,0,0.0,4.0
1745348129.7839906,98.3,10734,0,0.0,4.0
1745348130.8659728,99.2,13822,0,0.0,4.0
