ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB,gpu_mem_total_MiB
1745408123.7722125,17.9,5691,0,0.0,4.0,12288.0
1745408124.792925,27.1,6395,0,0.0,4.0,12288.0
1745408125.8129654,59.1,6894,0,0.0,4.0,12288.0
1745408126.8407347,65.2,7179,0,0.0,4.0,12288.0
1745408127.8753743,82.0,7319,0,0.0,4.0,12288.0
1745408128.9482641,99.7,7507,0,0.0,4.0,12288.0
1745408130.0066397,99.9,7537,0,0.0,4.0,12288.0
1745408131.0807405,88.2,8115,0,0.0,4.0,12288.0
1745408132.1107097,92.1,8362,0,0.0,4.0,12288.0
1745408133.1560802,95.9,9879,0,0.0,4.0,12288.0
1745408134.2289615,99.9,9924,0,0.0,4.0,12288.0
1745408135.295251,80.6,10135,0,0.0,4.0,12288.0
1745408136.3287036,64.1,9912,0,0.0,4.0,12288.0
1745408137.3733091,42.5,11321,0,0.0,4.0,12288.0
1745408138.4126844,60.6,11250,0,0.0,4.0,12288.0
1745408139.4369185,49.5,11714,0,0.0,4.0,12288.0
1745408140.4974306,81.4,11822,0,0.0,4.0,12288.0
1745408141.5587401,99.9,11841,0,0.0,4.0,12288.0
1745408142.627031,94.0,11859,0,0.0,4.0,12288.0
1745408143.6599536,99.7,11857,0,0.0,4.0,12288.0
1745408144.7367215,99.7,12192,0,0.0,4.0,12288.0
1745408145.8016856,97.1,13056,0,0.0,4.0,12288.0
1745408146.8756936,98.8,14542,0,0.0,4.0,12288.0
1745408147.943545,98.3,14666,0,0.0,4.0,12288.0
1745408149.0254712,99.7,14549,0,0.0,4.0,12288.0
1745408150.0806584,100.0,14557,0,0.0,4.0,12288.0
1745408151.129968,99.8,14568,0,0.0,4.0,12288.0
1745408152.195207,98.0,14569,0,0.0,4.0,12288.0
1745408153.2666008,99.8,14892,0,0.0,4.0,12288.0
1745408154.3492186,82.5,17476,0,0.0,4.0,12288.0
1745408155.3881936,31.6,17595,0,0.0,4.0,12288.0
1745408156.4203167,23.4,17818,0,0.0,4.0,12288.0
1745408157.4475784,45.2,17544,0,0.0,4.0,12288.0
1745408158.4722075,15.9,17520,0,0.0,4.0,12288.0
1745408159.503718,89.0,17525,0,0.0,4.0,12288.0
1745408160.5678513,100.0,17517,0,0.0,4.0,12288.0
1745408161.631728,98.7,17844,0,0.0,4.0,12288.0
1745408162.687632,98.2,17603,0,0.0,4.0,12288.0
1745408163.771068,99.8,17549,0,0.0,4.0,12288.0
1745408164.8416774,98.7,17564,0,0.0,4.0,12288.0
1745408165.8999767,98.6,18195,0,0.0,4.0,12288.0
1745408166.9647355,89.8,18133,0,0.0,4.0,12288.0
1745408168.0023801,72.0,18227,0,0.0,4.0,12288.0
1745408169.040572,74.3,18193,0,0.0,4.0,12288.0
1745408170.075128,72.8,18189,0,0.0,4.0,12288.0
1745408171.1111283,70.0,18143,0,0.0,4.0,12288.0
1745408172.1397378,55.0,19641,0,0.0,4.0,12288.0
1745408173.187502,74.7,19623,0,0.0,4.0,12288.0
1745408174.2295861,68.4,19890,0,0.0,4.0,12288.0
1745408175.2687163,66.3,19900,0,0.0,4.0,12288.0
1745408176.30371,85.1,19630,0,0.0,4.0,12288.0
1745408177.3416762,76.1,19682,0,0.0,4.0,12288.0
1745408178.4200387,57.2,19779,0,0.0,4.0,12288.0
1745408179.4464557,21.3,19628,0,0.0,4.0,12288.0
1745408180.473171,51.0,19702,0,0.0,4.0,12288.0
1745408181.4995859,66.9,19638,0,0.0,4.0,12288.0
1745408182.5373564,92.8,19636,0,0.0,4.0,12288.0
1745408183.6035376,85.5,20255,0,0.0,4.0,12288.0
1745408184.6429276,89.8,19638,0,0.0,4.0,12288.0
1745408185.705441,93.1,19637,0,0.0,4.0,12288.0
1745408186.7513266,93.7,19628,0,0.0,4.0,12288.0
1745408187.820255,79.6,19636,0,0.0,4.0,12288.0
1745408188.8834076,99.7,19664,0,0.0,4.0,12288.0
1745408189.9581244,81.3,19669,0,0.0,4.0,12288.0
1745408191.0302913,92.4,19766,0,0.0,4.0,12288.0
1745408192.1086085,99.1,19665,0,0.0,4.0,12288.0
1745408193.175458,99.5,19736,0,0.0,4.0,12288.0
